# ----------------------------------------
# Acquisition de trafic: Groupe de canaux principal de la session (Groupe de canaux par défaut)
# Compte : Artisane de Lumière Website
# Propriété : abat-jour-adl.ch
# ----------------------------------------
# 
# Tous les utilisateurs
# Date de début : 20250101
# Date de fin : 20250720
Groupe de canaux principal de la session (Groupe de canaux par défaut),Sessions,Sessions avec engagement,Taux d'engagement,Durée d'engagement moyenne par session,Événements par session,Nombre d'événements,Événements clés,Taux d'événements clés de la session,Revenu total
Direct,92,41,0.44565217391304346,101.52173913043478,9.967391304347826,917,0,0,0
Organic Search,70,48,0.6857142857142857,58.77142857142857,12.571428571428571,880,0,0,0
Unassigned,7,1,0.14285714285714285,18.571428571428573,5.571428571428571,39,0,0,0
Referral,4,4,1,42,16.75,67,0,0,0
Organic Social,2,2,1,2,5,10,0,0,0
