# ----------------------------------------
# User acquisition: First user source
# Account: Culture Peinture
# Property: culturepeinture.com
# ----------------------------------------
# 
# All Users
# Start date: 20250101
# End date: 20250720
First user source,Total users,New users,Returning users,Average engagement time per active user,Engaged sessions per active user,Event count,Key events,User key event rate
fb-SiteLink-4,1,1,0,0,0,3,0,0
fr-fr.facebook.com,1,1,0,48,1,6,1,1
fr.m.wikipedia.org,1,1,1,35,1,6,0,0
fr.search.yahoo.com,1,1,1,1681,4,56,1,1
keep.google.com,1,1,0,11,1,5,0,0
lartquarium.statslive.info,1,1,0,271,1,4,0,0
lightmailer.gmx.fr,1,1,0,17,1,5,0,0
m365.eu.vadesecure.com,1,1,1,3,3,21,0,0
openmedias.lightning.force.com,1,1,1,11,1,8,0,0
perplexity.ai,1,1,1,7,1,9,0,0
search-dre.dt.dbankcloud.com,1,1,0,0,1,4,0,0
search.brave.com,1,1,0,0,1,4,0,0
search.lilo.org,1,1,0,230,1,11,0,0
uk.search.yahoo.com,1,1,0,117,1,27,0,0
webmail.tim.it,1,1,0,38,1,5,0,0
