# ----------------------------------------
# Acquisition d'utilisateurs: Groupe de canaux principal du premier utilisateur (Groupe de canaux par défaut)
# Compte : Artisane de Lumière Website
# Propriété : abat-jour-adl.ch
# ----------------------------------------
# 
# Tous les utilisateurs
# Date de début : 20250101
# Date de fin : 20250720
Groupe de canaux principal du premier utilisateur (Groupe de canaux par défaut),Nombre total d'utilisateurs,Nouveaux utilisateurs,Utilisateurs connus,Durée d'engagement moyenne par utilisateur actif,Sessions avec engagement par utilisateur actif,Nombre d'événements,Événements clés,Taux d'événements clés par utilisateur
Direct,66,65,9,158.34848484848484,0.7424242424242424,1118,0,0
Organic Search,41,41,8,73.97560975609755,0.975609756097561,689,0,0
Referral,3,3,1,56,1.3333333333333333,67,0,0
Organic Social,2,2,0,2,1,10,0,0
Unassigned,1,1,0,100,1,29,0,0
